,Symbol,Market,Name,Sector,Industry,ListingDate,SettleMonth,Representative,HomePage,Region,Report_Date,Stock_Amount,Quarter_Revenue2022_3,Quarter_Operating_Profit2022_3,Quarter_Cashflow2022_3,Quarter_Earn2022_3,Quarter_Continue_Earn2022_3,Quarter_Percent_Operating_Profit2022_3,Quarter_Percent_Cashflow2022_3,Quarter_Percent_Earn2022_3,Quarter_Revenue2021_12,Quarter_Operating_Profit2021_12,Quarter_Cashflow2021_12,Quarter_Earn2021_12,Quarter_Continue_Earn2021_12,Quarter_Percent_Operating_Profit2021_12,Quarter_Percent_Cashflow2021_12,Quarter_Percent_Earn2021_12,Quarter_Full_EPS,Last_Revenue2021_3,Last_Operating_Profit2021_3,Last_Cashflow2021_3,Last_Earn2021_3,Last_Continue_Earn2021_3,Last_Percent_Operating_Profit2021_3,Last_Percent_Cashflow2021_3,Last_Percent_Earn2021_3,Last_Revenue2020_12,Last_Operating_Profit2020_12,Last_Cashflow2020_12,Last_Earn2020_12,Last_Continue_Earn2020_12,Last_Percent_Operating_Profit2020_12,Last_Percent_Cashflow2020_12,Last_Percent_Earn2020_12,Fake_Last_Full_EPS,Last_Full_Revenue,Last_Full_Operating_Profit,Last_Full_Cashflow,Last_Full_Earn,Real_Last_Full_EPS,Quarter_BPS,Last_Full_BPS,Quarter_ROA,Last_Full_ROA,QUARTER_ROE,LAST_FULL_ROE
24,7070,KOSPI,GS리테일,종합 소매업,"체인화 편의점,슈퍼마켓,마트,전자상거래/부동산(빌딩) 임대",2011-12-23,12월,"허연수, 김호성",http://www.gsretail.com,서울특별시,2022-08-16,104725447.0,2598472164402.0,27328534119.0,169883426575.0,5184576068.0,0.0,1.05,6.54,0.2,2654542998024.0,25665483846.0,87203304321.0,-13185336166.0,0.0,0.97,3.29,-0.5,196.0,2100136802469.0,37523939162.0,143768119411.0,34276651814.0,0.0,1.79,6.85,1.63,2160945060739.0,25680848285.0,24766831742.0,5392756965.0,0.0,1.19,1.15,0.25,1308.0,9765695333837.0,208469084873.0,714852180204.0,801275553361.0,7651.0,41230.0,42151.0,0.21,8.47,0.48,18.15
25,12630,KOSPI,HDC,기타 금융업,"토목공사,건축공사,아파트분양사업,재개발/재건축사업",1996-10-16,12월,"정몽규, 유병규",http://www.i-park.com,서울특별시,2022-08-16,59747980.0,1202131748435.0,-81318204253.0,-985400542030.0,-49535379563.0,0.0,-6.76,-81.97,-4.12,1365834035168.0,32965065909.0,161650904095.0,-19551719638.0,0.0,2.41,11.84,-1.43,-3316.0,1023412826164.0,132386867930.0,213154573973.0,42389234244.0,0.0,12.94,20.83,4.14,1255191991795.0,183257039768.0,-585491828570.0,44645820475.0,0.0,14.6,-46.65,3.56,2836.0,4779586328802.0,368697035249.0,-8772539265.0,113407372882.0,1898.0,82271.0,80417.0,-1.71,1.06,-4.03,2.36
26,39570,KOSPI,HDC랩스,전기 및 통신 공사업,"기계설비공사, 스마트홈, 지능형 빌딩, SOC, 인테리어, 조경, 시설관리",2015-09-24,12월,김성은,http://hdc-labs.com,서울특별시,2022-08-12,25957510.0,133726616790.0,2546146988.0,-14208318623.0,2831919774.0,0.0,1.9,-10.62,2.12,115593237450.0,1767033134.0,15637812817.0,905508101.0,0.0,1.53,13.53,0.78,436.0,52779029600.0,4287624036.0,7337439616.0,3974973166.0,0.0,8.12,13.9,7.53,53049993600.0,4526345239.0,1685002894.0,2793387426.0,0.0,8.53,3.18,5.27,612.0,274579528254.0,9666853635.0,22652680811.0,9090959987.0,350.0,13438.0,10240.0,1.95,2.21,3.24,3.42
27,89470,KOSPI,HDC현대EP,기타 화학제품 제조업,"합성수지(PP컴파운딩가공,자동차범퍼,내장제) 제조,도소매",2006-09-25,12월,정 중 규,http://www.hdc-hyundaiep.com/,충청남도,2022-08-16,31900124.0,249383675631.0,5833058907.0,-264414447.0,3353027102.0,0.0,2.34,-0.11,1.34,232215737166.0,1930755569.0,12146504778.0,-10739937687.0,0.0,0.83,5.23,-4.62,420.0,197876113464.0,6716141527.0,-8095940143.0,5050354601.0,0.0,3.39,-4.09,2.55,191460173939.0,7097305510.0,17179931693.0,-4003751095.0,0.0,3.71,8.97,-2.09,632.0,859757101927.0,28370561449.0,-732393319.0,10285175857.0,322.0,9368.0,9644.0,2.09,1.76,4.48,3.34
28,294870,KOSPI,HDC현대산업개발,건물 건설업,"외주주택, 자체공사, 일반건축, 토목 등",2018-06-12,12월,"권순호, 정경구, 하원기 (각자 대표이사)",http://www.hdc-dvp.com,서울특별시,2022-08-16,65919655.0,685699565803.0,-94177171681.0,-1089925252164.0,-75571142788.0,0.0,-13.73,-158.95,-11.02,997477647720.0,-16228610107.0,-43408343484.0,-37657665742.0,0.0,-1.63,-4.35,-3.78,-4584.0,694610819742.0,118400604722.0,-258907141040.0,91586912429.0,0.0,17.05,-37.27,13.19,894214886012.0,168491361303.0,-577566462080.0,89080341797.0,0.0,18.84,-64.59,9.96,5556.0,3363905605791.0,273435124620.0,30449503915.0,176535316421.0,2678.0,41543.0,43769.0,-4.18,2.69,-11.03,6.12
29,97230,KOSPI,HJ중공업,토목 건설업,"선박건조,기계플랜트 제조/토목공사,건축공사,조경공사,전기공사,가스공사,준설공사,기계설비공사",2007-08-31,12월,홍문기,http://www.hjsc.co.kr,부산광역시,2022-08-16,83280344.0,347994000000.0,2583000000.0,7785000000.0,-9031000000.0,0.0,0.74,2.24,-2.6,513363000000.0,-93036000000.0,41500000000.0,-81536000000.0,-139844000000.0,-18.12,8.08,-15.88,-432.0,274483000000.0,-25156000000.0,-71779000000.0,-40612000000.0,0.0,-9.16,-26.15,-14.8,399127000000.0,-10406000000.0,197317000000.0,-26726000000.0,-139844000000.0,-2.61,49.44,-6.7,-1948.0,1706532000000.0,-108991000000.0,-110633000000.0,-139834000000.0,-1679.0,7124.0,5187.0,-1.33,-5.86,-6.06,-32.37
30,11200,KOSPI,HMM,해상 운송업,"정기,부정기,전용선,콘테이너선,자동차선,LNG선 해운",1995-10-05,12월,배재훈,http://www.hmm21.com,서울특별시,2022-08-10,489121783.0,4918670000000.0,3148609000000.0,3185430000000.0,3131708000000.0,0.0,64.01,64.76,63.67,4443041000000.0,2698529000000.0,2739542000000.0,2672685000000.0,0.0,60.74,61.66,60.15,25608.0,2428039000000.0,1019289000000.0,1113921000000.0,154072000000.0,0.0,41.98,45.88,6.35,2006532000000.0,567015000000.0,605636000000.0,136794000000.0,0.0,28.26,30.18,6.82,1256.0,13794148000000.0,7377522000000.0,7505033000000.0,5337056000000.0,10911.0,32821.0,21177.0,52.47,29.86,78.02,51.52
31,82740,KOSPI,HSD엔진,일반 목적용 기계 제조업,"대형선박용엔진,내연발전엔진",2011-01-04,12월,고영열,http://www.hsdengine.com,경상남도,2022-08-12,46719269.0,177843364038.0,-2556947818.0,-1811772838.0,-4727349057.0,-4727349057.0,-1.44,-1.02,-2.66,195696524432.0,-7558677579.0,-9581960354.0,-13636050630.0,-13636050630.0,-3.86,-4.9,-6.97,-404.0,114540458232.0,-6938984038.0,-45232626596.0,-6990616201.0,-6990616201.0,-6.06,-39.49,-6.1,183417231603.0,2103973941.0,74102388665.0,1802369652.0,-43984018869.0,1.15,40.4,0.98,-596.0,598999092899.0,-39778154646.0,-45756449983.0,-39738223201.0,-850.0,3180.0,4475.0,-2.35,-4.99,-12.7,-19.0
32,3560,KOSPI,IHQ,"영화, 비디오물, 방송프로그램 제작 및 배급업","매니지먼트, 음반, 드라마 제작, 유료방송, 프로그램 공급, 광고대행",1973-12-18,12월,김형철,http://www.ihq.co.kr,서울특별시,2022-08-16,154822393.0,15032627331.0,-1026670373.0,3072213580.0,2356276778.0,0.0,-6.83,20.44,15.67,14447938462.0,-5525245417.0,-2850592190.0,-6864478847.0,0.0,-38.24,-19.73,-47.51,60.0,14687226797.0,-1869738081.0,9247994279.0,-1159618177.0,0.0,-12.73,62.97,-7.9,22690445828.0,-3651354485.0,8558831857.0,-11291039393.0,0.0,-16.09,37.72,-49.76,-28.0,60007423253.0,-11640188629.0,15808633145.0,-10099947227.0,-65.0,971.0,763.0,3.35,-4.23,6.17,-8.55
33,234080,KOSPI,JW생명과학,의약품 제조업,"기초수액, TPN, 특수수액, HEMO, 영양수액 등",2016-10-27,12월,차성남,http://www.jw-lifescience.co.kr,충청남도,2022-08-16,15833384.0,43836239342.0,6836661439.0,6108079740.0,4633532310.0,0.0,15.6,13.93,10.57,44424619671.0,6640505551.0,7162128571.0,1004799648.0,0.0,14.95,16.12,2.26,1168.0,42427314085.0,8291954362.0,11687943019.0,5547494933.0,0.0,19.54,27.55,13.08,44646416785.0,10406573125.0,29600836717.0,-5544114484.0,0.0,23.31,66.3,-12.42,1400.0,169816950012.0,28416710564.0,30165045645.0,12172061364.0,768.0,8219.0,8257.0,7.95,5.57,14.21,9.31
